BusinessEntityID,NationalIDNumber,LoginID,OrganizationNode,OrganizationLevel,JobTitle,BirthDate,MaritalStatus,Gender,HireDate,SalariedFlag,VacationHours,SickLeaveHours,CurrentFlag,rowguid,ModifiedDate
1,4303,adventure-works\ken0,0x,0,Chief Executive Officer,02-03-63,S,M,15-02-03,TRUE,99,69,TRUE,{F01251E5-96A3-448D-981E-0F99D789110D},31-07-08 0:00
2,5360,adventure-works\terri0,0x58,1,Vice President of Engineering,01-09-65,S,F,03-03-02,TRUE,1,20,TRUE,{45E8F437-670D-4409-93CB-F9424A40D6EE},31-07-08 0:00
3,1849,adventure-works\roberto0,0x5AC0,2,Engineering Manager,13-12-68,M,M,12-12-01,TRUE,2,21,TRUE,{9BBBFB2C-EFBB-4217-9AB7-F97689328841},31-07-08 0:00
4,2305,adventure-works\rob0,0x5AD6,3,Senior Tool Designer,23-01-69,S,M,05-01-02,FALSE,48,80,TRUE,{59747955-87B8-443F-8ED4-F8AD3AFDF3A9},31-07-08 0:00
5,4885,adventure-works\gail0,0x5ADA,3,Design Engineer,29-10-46,M,F,06-02-02,TRUE,5,22,TRUE,{EC84AE09-F9B8-4A15-B4A9-6CCBAB919B08},31-07-08 0:00
6,3131,adventure-works\jossef0,0x5ADE,3,Design Engineer,11-04-53,M,M,24-02-02,TRUE,6,23,TRUE,{E39056F1-9CD5-478D-8945-14ACA7FBDCDD},31-07-08 0:00
7,1839,adventure-works\dylan0,0x5AE1,3,Research and Development Manager,27-03-81,M,M,12-03-03,TRUE,61,50,TRUE,{4F46DECA-EF01-41FD-9829-0ADAB368E431},31-07-08 0:00
8,3418,adventure-works\diane1,0x5AE158,4,Research and Development Engineer,06-07-80,S,F,30-01-03,TRUE,62,51,TRUE,{31112635-663B-4018-B4A2-A685C0BF48A4},31-07-08 0:00
9,3926,adventure-works\gigi0,0x5AE168,4,Research and Development Engineer,21-02-73,M,F,17-02-03,TRUE,63,51,TRUE,{50B6CDC6-7570-47EF-9570-48A64B5F2ECF},31-07-08 0:00
10,4233,adventure-works\michael6,0x5AE178,4,Research and Development Manager,01-01-79,M,M,04-06-03,TRUE,16,64,TRUE,{EAA43680-5571-40CB-AB1A-3BF68F04459E},31-07-08 0:00
11,4209,adventure-works\ovidiu0,0x5AE3,3,Senior Tool Designer,18-02-72,S,M,05-01-05,FALSE,7,23,TRUE,{F68C7C19-FAC1-438C-9BB7-AC33FCC341C3},31-07-08 0:00
12,4037,adventure-works\thierry0,0x5AE358,4,Tool Designer,29-08-53,M,M,11-01-02,FALSE,9,24,TRUE,{1D955171-E773-4FAD-8382-40FD898D5D4D},31-07-08 0:00
13,2626,adventure-works\janice0,0x5AE368,4,Tool Designer,29-06-83,M,F,23-01-05,FALSE,8,24,TRUE,{954B91B6-5AA7-48C2-8685-6E11C6E5C49A},31-07-08 0:00
14,5375,adventure-works\michael8,0x5AE5,3,Senior Design Engineer,17-07-73,S,M,30-01-05,TRUE,3,21,TRUE,{46286CA4-46DD-4DDB-9128-85B67E98D1A9},31-07-08 0:00
15,1734,adventure-works\sharon0,0x5AE7,3,Design Engineer,03-06-55,M,F,18-02-05,TRUE,4,22,TRUE,{54F2FDC0-87C4-4065-A7A8-9AC8EA624235},31-07-08 0:00
16,978,adventure-works\david0,0x68,1,Marketing Manager,19-04-69,S,M,20-01-02,TRUE,40,40,TRUE,{E87029AA-2CBA-4C03-B948-D83AF0313E28},31-07-08 0:00
17,1566,adventure-works\kevin0,0x6AC0,2,Marketing Assistant,03-06-81,S,M,26-02-01,FALSE,42,41,TRUE,{1B480240-95C0-410F-A717-EB29943C8886},31-07-08 0:00
18,4301,adventure-works\john5,0x6B40,2,Marketing Specialist,06-04-72,S,M,10-03-05,FALSE,48,44,TRUE,{64730415-1F58-4E5B-8FA8-5E4DAEBA53B4},31-07-08 0:00
19,3003,adventure-works\mary2,0x6BC0,2,Marketing Assistant,01-03-72,S,F,17-03-05,FALSE,43,41,TRUE,{1F6DA901-C7F7-48A8-8EEF-D81868D72B52},31-07-08 0:00
20,116,adventure-works\wanida0,0x6C20,2,Marketing Assistant,17-04-69,M,F,07-02-05,FALSE,41,40,TRUE,{43CCA446-DA1C-454C-8530-873AD2923E1B},31-07-08 0:00
21,4417,adventure-works\terry0,0x6C60,2,Marketing Specialist,07-03-80,M,M,03-04-03,FALSE,44,42,TRUE,{AD0D7626-4506-45C4-898F-9D7A0E13AABD},31-07-08 0:00
22,342,adventure-works\sariya0,0x6CA0,2,Marketing Specialist,21-06-81,S,M,13-01-03,FALSE,45,42,TRUE,{AF21F1B7-0691-48AD-B325-B8F2D7B2268A},31-07-08 0:00
23,4671,adventure-works\mary0,0x6CE0,2,Marketing Specialist,14-10-56,M,F,13-02-03,FALSE,46,43,TRUE,{90899830-127E-4876-85CA-7F6E03025281},31-07-08 0:00
24,5504,adventure-works\jill0,0x6D10,2,Marketing Specialist,19-07-73,M,F,19-02-03,FALSE,47,43,TRUE,{53575C58-FBA1-4C1A-B8FF-95E050B44393},31-07-08 0:00
25,4905,adventure-works\james1,0x78,1,Vice President of Production,07-02-77,S,M,07-03-03,TRUE,64,52,TRUE,{D7314F24-2AF1-429C-9BBB-4038F45F3E6C},31-07-08 0:00
26,3083,adventure-works\peter0,0x7AC0,2,Production Control Manager,04-12-76,M,M,02-01-03,TRUE,43,41,TRUE,{69D5D162-E817-45E7-9DEC-5D9B8310E7B1},17:08.6
27,265,adventure-works\jo0,0x7AD6,3,Production Supervisor - WC60,09-11-50,S,F,30-03-02,FALSE,80,60,TRUE,{83FFAAC6-B895-481F-B897-14F965D4DA47},31-07-08 0:00
28,3309,adventure-works\guy1,0x7AD6B0,4,Production Technician - WC60,15-05-76,M,M,31-07-00,FALSE,21,30,TRUE,{AAE1D04A-C237-4974-B4D5-935247737718},31-07-08 0:00
29,5007,adventure-works\mark1,0x7AD6D0,4,Production Technician - WC60,26-10-73,S,M,24-02-03,FALSE,19,29,TRUE,{CDB2C6DF-93E5-4558-91C8-424D5E7C658B},31-07-08 0:00
30,1757,adventure-works\britta0,0x7AD6F0,4,Production Technician - WC60,30-10-83,M,F,02-03-03,FALSE,14,27,TRUE,{FC12677F-42F8-4790-AD69-685088ED7E5F},31-07-08 0:00
31,369,adventure-works\margie0,0x7AD708,4,Production Technician - WC60,20-06-80,M,F,05-02-03,FALSE,18,29,TRUE,{352D6E2F-655B-49A2-9FEC-EFD7D8CD0D30},31-07-08 0:00
32,2810,adventure-works\rebecca0,0x7AD718,4,Production Technician - WC60,11-08-71,M,F,30-01-03,FALSE,23,31,TRUE,{BDADEB5C-A596-4DA1-88BA-842C7A0CC10F},31-07-08 0:00
33,3099,adventure-works\annik0,0x7AD728,4,Production Technician - WC60,27-01-71,M,M,18-01-03,FALSE,17,28,TRUE,{51FDE6AC-BD50-467C-90E5-10CA7310455C},31-07-08 0:00
34,1673,adventure-works\suchitra0,0x7AD738,4,Production Technician - WC60,11-07-81,M,F,20-03-03,FALSE,15,27,TRUE,{6ADBD932-0DA5-4F5C-AF67-8E3A53630896},31-07-08 0:00
35,3217,adventure-works\brandon0,0x7AD744,4,Production Technician - WC60,11-02-71,M,M,12-03-03,FALSE,22,31,TRUE,{CA5D1935-44E2-4C45-93BB-809E59F56796},31-07-08 0:00
36,3242,adventure-works\jose0,0x7AD74C,4,Production Technician - WC60,01-09-78,M,M,14-03-03,FALSE,20,30,TRUE,{9E912556-88BA-41EE-B946-CB84AB4C1102},31-07-08 0:00
37,953,adventure-works\chris2,0x7AD754,4,Production Technician - WC60,07-09-80,S,M,08-04-03,FALSE,16,28,TRUE,{77B384C7-AFFB-4816-992B-F5B3034EE4FF},31-07-08 0:00
38,5200,adventure-works\kim1,0x7AD75C,4,Production Technician - WC60,14-01-61,M,F,17-02-04,FALSE,24,32,TRUE,{891C27F4-28CC-44BB-BEA3-DA5EA7FBE957},31-07-08 0:00
39,4537,adventure-works\ed0,0x7AD764,4,Production Technician - WC60,12-10-65,S,M,08-03-04,FALSE,25,32,TRUE,{8EF22FB3-AF37-4B44-8862-D60A7CB09D82},31-07-08 0:00
40,475,adventure-works\jolynn0,0x7ADA,3,Production Supervisor - WC60,16-02-50,S,F,26-01-02,FALSE,82,61,TRUE,{2CC71B96-F421-485E-9832-8723337749BB},31-07-08 0:00
41,5635,adventure-works\bryan0,0x7ADAB0,4,Production Technician - WC60,28-09-67,S,M,22-02-03,FALSE,35,37,TRUE,{4652D4E4-6A27-47ED-9F51-C377E293DA28},31-07-08 0:00
42,1455,adventure-works\james0,0x7ADAD0,4,Production Technician - WC60,26-08-78,M,M,28-01-03,FALSE,39,39,TRUE,{82E52D5A-165B-4C6D-9773-C3A6B6332ECD},31-07-08 0:00
43,1676,adventure-works\nancy0,0x7ADAF0,4,Production Technician - WC60,21-12-82,M,F,03-02-03,FALSE,34,37,TRUE,{6B7EB306-9A00-496A-98A9-4E94FE72F77C},31-07-08 0:00
44,5235,adventure-works\simon0,0x7ADB08,4,Production Technician - WC60,17-06-84,S,M,09-01-03,FALSE,38,39,TRUE,{F734D38A-56B5-471E-8DED-A682E958A9B3},31-07-08 0:00
45,5738,adventure-works\thomas0,0x7ADB18,4,Production Technician - WC60,11-02-80,M,M,30-03-03,FALSE,37,38,TRUE,{8FF3AF67-32F2-4A08-98C3-A40F842D41A3},31-07-08 0:00
46,1452,adventure-works\eugene1,0x7ADB28,4,Production Technician - WC60,13-03-70,S,M,12-03-03,FALSE,36,38,TRUE,{33543B35-77DA-4600-A41B-1EAFEA0AD643},31-07-08 0:00
47,2349,adventure-works\andrew0,0x7ADE,3,Production Supervisor - WC10,08-10-82,S,M,26-03-03,FALSE,65,52,TRUE,{08365B05-C143-4260-A93C-6B69418B1946},31-07-08 0:00
48,3354,adventure-works\ruth0,0x7ADEB0,4,Production Technician - WC10,06-07-50,M,F,06-02-02,FALSE,83,61,TRUE,{3E3B6905-209E-442E-B8A8-9A0980241C6A},31-07-08 0:00
49,2097,adventure-works\barry0,0x7ADED0,4,Production Technician - WC10,27-04-50,S,M,07-02-02,FALSE,88,64,TRUE,{756A60AE-378F-43D8-9F93-1E821D1EAF52},31-07-08 0:00
50,5732,adventure-works\sidney0,0x7ADEF0,4,Production Technician - WC10,01-10-50,M,M,05-03-02,FALSE,84,62,TRUE,{40D603D9-7F99-48B7-A580-B17CF429BED2},31-07-08 0:00
51,5248,adventure-works\jeffrey0,0x7ADF08,4,Production Technician - WC10,12-08-50,S,M,23-03-02,FALSE,85,62,TRUE,{6E086F41-B81D-4BDC-9F13-0EEC488DC43E},31-07-08 0:00
52,4390,adventure-works\doris0,0x7ADF18,4,Production Technician - WC10,06-05-50,M,F,11-04-02,FALSE,86,63,TRUE,{692B8826-03B4-4C3B-82FC-1FC6F1409689},31-07-08 0:00
53,5637,adventure-works\diane0,0x7ADF28,4,Production Technician - WC10,30-04-50,M,F,29-04-02,FALSE,87,63,TRUE,{C334B2D2-0C56-4906-9095-F1D07A98CBEC},31-07-08 0:00
54,5227,adventure-works\bonnie0,0x7ADF38,4,Production Technician - WC10,11-10-80,M,F,02-02-04,FALSE,89,64,TRUE,{E950A52A-DF61-4FEC-9063-545664D65B89},31-07-08 0:00
55,3238,adventure-works\taylor0,0x7AE1,3,Production Supervisor - WC50,03-05-50,M,M,11-03-02,FALSE,79,59,TRUE,{28F7EF89-2793-4989-B67D-25046543C1E3},31-07-08 0:00
56,3515,adventure-works\denise0,0x7AE158,4,Production Technician - WC50,07-08-82,M,F,09-03-03,FALSE,9,24,TRUE,{77878C43-F16E-437D-892F-3CFCC0715A0A},31-07-08 0:00
57,807,adventure-works\frank1,0x7AE168,4,Production Technician - WC50,24-08-65,S,M,27-03-03,FALSE,10,25,TRUE,{B395CD84-77BA-4D3C-A49D-D9E8D6CF100B},31-07-08 0:00
58,2363,adventure-works\kendall0,0x7AE178,4,Production Technician - WC50,30-06-80,M,M,06-01-03,FALSE,11,25,TRUE,{65207627-5521-4A8E-AD3C-B2F1B5226B85},31-07-08 0:00
59,1192,adventure-works\bob0,0x7AE184,4,Production Technician - WC50,16-09-73,S,M,25-01-03,FALSE,12,26,TRUE,{68616AEA-81E5-4940-A7E4-6FBA882BCCF6},31-07-08 0:00
60,4653,adventure-works\pete0,0x7AE18C,4,Production Technician - WC50,07-03-71,S,M,12-02-03,FALSE,13,26,TRUE,{1F1D813D-3EDC-4274-8E9B-4519D71685B6},31-07-08 0:00
61,5089,adventure-works\diane2,0x7AE194,4,Production Technician - WC50,10-09-83,S,F,19-02-03,FALSE,8,24,TRUE,{721A2921-C415-46DE-9111-13F25F428B8B},31-07-08 0:00
62,3396,adventure-works\john0,0x7AE3,3,Production Supervisor - WC60,08-09-50,M,M,18-04-02,FALSE,81,60,TRUE,{D4ED1F78-7C28-479B-BFEF-A73228BA2AAA},31-07-08 0:00
63,5703,adventure-works\maciej0,0x7AE358,4,Production Technician - WC60,02-03-49,S,M,01-03-04,FALSE,30,35,TRUE,{3229D93F-6A14-4BAC-ABC5-A91B9ECFB4D3},31-07-08 0:00
64,4418,adventure-works\michael7,0x7AE368,4,Production Technician - WC60,07-10-67,S,M,26-03-04,FALSE,26,33,TRUE,{492B24BD-BDE9-4371-B96E-CCD72264B91F},31-07-08 0:00
