CreditCardID,CardType,ExpMonth,ExpYear,ModifiedDate,CardNumber
1,SuperiorCard,11,2006,30-08-07 0:00,190020
2,Distinguish,8,2005,06-01-08 0:00,88509
3,ColonialVoice,7,2005,15-02-08 0:00,87098
4,ColonialVoice,7,2006,21-06-07 0:00,129965
5,Vista,4,2005,05-03-07 0:00,31620
6,Distinguish,9,2006,11-05-08 0:00,98064
7,Distinguish,6,2007,05-03-07 0:00,101250
8,SuperiorCard,7,2007,01-08-07 0:00,31763
9,Distinguish,2,2005,25-10-07 0:00,60412
10,SuperiorCard,8,2008,01-10-05 0:00,23382
11,SuperiorCard,10,2008,04-06-08 0:00,147177
12,SuperiorCard,4,2008,01-07-06 0:00,169464
13,Vista,11,2005,01-04-08 0:00,112508
14,Distinguish,10,2006,21-12-07 0:00,133271
15,SuperiorCard,11,2008,02-03-07 0:00,186220
16,Vista,8,2006,31-01-08 0:00,73436
17,ColonialVoice,8,2008,17-02-08 0:00,104615
18,ColonialVoice,8,2007,29-01-06 0:00,10149
19,ColonialVoice,9,2007,07-03-08 0:00,87940
20,SuperiorCard,3,2007,18-01-08 0:00,172135
21,SuperiorCard,3,2006,13-10-07 0:00,33456
22,ColonialVoice,3,2005,25-01-08 0:00,36129
23,Vista,7,2006,17-05-06 0:00,61576
24,Vista,11,2005,22-09-07 0:00,95392
25,Vista,1,2007,20-02-07 0:00,45295
26,Distinguish,11,2008,28-09-07 0:00,45196
27,SuperiorCard,12,2008,13-12-07 0:00,92379
28,SuperiorCard,12,2006,01-09-07 0:00,25712
29,SuperiorCard,2,2007,26-05-08 0:00,126066
30,Vista,6,2006,14-02-08 0:00,11784
31,Vista,10,2008,16-02-03 0:00,73696
32,Distinguish,6,2006,22-02-08 0:00,16130
33,SuperiorCard,2,2006,25-02-06 0:00,184717
34,Vista,10,2006,27-12-07 0:00,43728
35,SuperiorCard,2,2007,06-09-06 0:00,80232
36,Vista,11,2006,05-10-07 0:00,18210
37,Distinguish,7,2007,23-04-08 0:00,103914
38,Distinguish,7,2008,26-10-07 0:00,59900
39,Vista,5,2005,15-10-07 0:00,60355
40,Distinguish,4,2008,26-09-07 0:00,157810
41,Vista,7,2008,22-04-08 0:00,122801
42,Distinguish,3,2005,02-08-07 0:00,174687
43,SuperiorCard,3,2006,05-10-07 0:00,165498
44,ColonialVoice,6,2007,11-11-07 0:00,142094
45,Distinguish,4,2006,29-05-08 0:00,141329
46,SuperiorCard,12,2005,08-01-08 0:00,161186
47,Distinguish,3,2008,09-07-07 0:00,52466
48,SuperiorCard,3,2008,21-06-08 0:00,136084
49,SuperiorCard,6,2008,10-08-07 0:00,25771
50,ColonialVoice,5,2007,16-07-08 0:00,62841
51,SuperiorCard,3,2007,07-04-08 0:00,106776
52,Vista,3,2008,25-05-07 0:00,36765
53,ColonialVoice,5,2006,05-05-08 0:00,15713
54,Distinguish,12,2006,06-10-07 0:00,158348
55,ColonialVoice,5,2008,01-09-07 0:00,17379
56,Distinguish,7,2007,16-04-08 0:00,179351
57,ColonialVoice,10,2008,24-01-08 0:00,124331
58,Vista,12,2008,10-03-08 0:00,144895
59,Vista,9,2006,01-08-07 0:00,56446
60,Vista,1,2008,16-07-06 0:00,96492
61,Distinguish,4,2008,15-06-08 0:00,54595
62,SuperiorCard,1,2005,02-05-08 0:00,116922
63,Distinguish,4,2008,07-01-08 0:00,89370
64,ColonialVoice,2,2005,14-11-07 0:00,82465
65,Distinguish,4,2005,14-11-07 0:00,130779
66,ColonialVoice,8,2005,01-03-04 0:00,7928
67,SuperiorCard,12,2005,28-11-07 0:00,11010
68,SuperiorCard,3,2005,10-03-07 0:00,181285
69,ColonialVoice,6,2005,18-06-06 0:00,102586
70,Distinguish,3,2008,10-03-08 0:00,82968
71,Vista,7,2005,14-11-07 0:00,138061
72,Distinguish,7,2005,14-09-07 0:00,118347
73,Vista,1,2008,25-12-07 0:00,172045
74,Vista,11,2007,27-07-08 0:00,121428
75,SuperiorCard,11,2008,24-10-07 0:00,78839
76,SuperiorCard,5,2008,01-07-05 0:00,168215
77,Distinguish,8,2008,28-03-03 0:00,151926
78,SuperiorCard,8,2008,26-02-08 0:00,81161
79,Vista,7,2006,19-07-06 0:00,2165
80,ColonialVoice,11,2008,21-12-07 0:00,74225
81,Distinguish,6,2007,19-12-06 0:00,57771
82,Distinguish,11,2006,01-07-06 0:00,187428
83,Vista,4,2008,30-11-07 0:00,36518
84,Distinguish,1,2006,29-04-08 0:00,64176
85,ColonialVoice,4,2006,27-06-08 0:00,5372
86,SuperiorCard,1,2006,27-09-07 0:00,13908
87,Vista,8,2007,04-04-06 0:00,74477
88,Distinguish,1,2006,21-05-08 0:00,102829
89,SuperiorCard,4,2007,20-05-07 0:00,166691
90,Distinguish,11,2007,14-08-07 0:00,35444
91,SuperiorCard,1,2006,31-08-07 0:00,76733
92,SuperiorCard,10,2006,14-03-08 0:00,49193
93,Vista,2,2005,27-10-07 0:00,181656
94,Distinguish,5,2005,06-04-08 0:00,161507
95,Distinguish,5,2007,06-04-08 0:00,97821
96,SuperiorCard,4,2007,18-02-08 0:00,51343
97,ColonialVoice,12,2007,02-06-08 0:00,130106
98,SuperiorCard,9,2006,06-01-06 0:00,80523
99,Vista,12,2006,29-09-07 0:00,165760
100,ColonialVoice,9,2007,06-05-08 0:00,78281
101,ColonialVoice,12,2006,31-07-06 0:00,80524
102,ColonialVoice,12,2008,06-01-08 0:00,104420
103,Vista,10,2007,22-07-05 0:00,189961
104,ColonialVoice,11,2005,13-08-07 0:00,154422
105,Distinguish,4,2008,08-02-08 0:00,116500
106,SuperiorCard,10,2008,01-08-07 0:00,140315
107,ColonialVoice,12,2006,19-07-08 0:00,153502
108,Vista,4,2006,23-06-08 0:00,128850
109,Vista,8,2007,01-07-08 0:00,22056
110,Distinguish,12,2006,08-09-07 0:00,161170
111,SuperiorCard,4,2006,16-12-07 0:00,60006
112,Vista,3,2007,12-06-08 0:00,39552
113,Vista,2,2005,22-08-06 0:00,29575
114,SuperiorCard,8,2006,19-09-07 0:00,164315
115,Distinguish,1,2005,29-09-07 0:00,178142
116,Distinguish,5,2006,31-03-08 0:00,154976
117,ColonialVoice,8,2005,01-01-08 0:00,102891
118,Distinguish,10,2007,04-10-07 0:00,139858
119,Distinguish,1,2006,10-03-03 0:00,88655
120,Distinguish,1,2006,28-06-07 0:00,180882
121,Distinguish,8,2005,05-06-08 0:00,10316
122,ColonialVoice,9,2007,12-07-08 0:00,56509
123,Distinguish,8,2007,04-10-07 0:00,26898
124,ColonialVoice,12,2007,21-10-07 0:00,168490
125,ColonialVoice,6,2006,01-06-08 0:00,80432
126,SuperiorCard,11,2005,01-09-07 0:00,160220
127,ColonialVoice,4,2008,14-10-06 0:00,136844
128,Distinguish,8,2006,25-06-08 0:00,148757
129,Distinguish,12,2005,18-11-07 0:00,157156
130,Vista,7,2005,07-09-07 0:00,157231
131,SuperiorCard,6,2008,28-03-06 0:00,152396
132,SuperiorCard,1,2008,02-07-08 0:00,98856
133,Distinguish,8,2006,30-08-07 0:00,188114
134,ColonialVoice,8,2006,04-02-08 0:00,9485
135,ColonialVoice,4,2006,04-04-08 0:00,115381
136,Distinguish,9,2008,09-03-07 0:00,168672
137,Distinguish,12,2006,01-06-07 0:00,169850
138,Distinguish,7,2005,30-10-07 0:00,13236
139,SuperiorCard,6,2007,05-12-07 0:00,160343
140,SuperiorCard,1,2005,25-07-07 0:00,182882
141,Distinguish,8,2007,18-09-07 0:00,140142
142,Distinguish,6,2006,09-05-08 0:00,28791
143,SuperiorCard,5,2005,05-12-06 0:00,173701
144,Distinguish,3,2007,19-02-08 0:00,122671
145,ColonialVoice,1,2007,28-11-07 0:00,23026
146,SuperiorCard,1,2006,19-02-08 0:00,79142
147,SuperiorCard,1,2007,04-11-07 0:00,58348
148,SuperiorCard,8,2006,20-03-07 0:00,102325
149,ColonialVoice,11,2006,08-09-06 0:00,72688
150,Vista,12,2006,31-07-07 0:00,187913
151,SuperiorCard,12,2007,23-05-06 0:00,107500
152,SuperiorCard,10,2005,13-08-07 0:00,98604
153,Vista,1,2005,19-09-07 0:00,167698
154,ColonialVoice,8,2008,18-10-07 0:00,152065
155,ColonialVoice,3,2006,08-12-07 0:00,11291
156,Vista,4,2007,19-01-06 0:00,78254
157,Vista,6,2005,21-10-05 0:00,188144
158,SuperiorCard,6,2006,09-06-08 0:00,176494
159,SuperiorCard,1,2008,28-12-06 0:00,71443
160,Vista,12,2007,11-04-08 0:00,34577
161,Vista,3,2005,01-08-05 0:00,98582
162,SuperiorCard,8,2008,01-05-08 0:00,174944
163,Vista,12,2006,01-03-08 0:00,171733
164,ColonialVoice,5,2005,25-06-08 0:00,156449
165,ColonialVoice,2,2007,08-11-07 0:00,163589
166,Vista,9,2006,12-11-07 0:00,116042
167,SuperiorCard,11,2005,01-05-08 0:00,37823
168,SuperiorCard,1,2007,02-06-06 0:00,122358
169,Distinguish,10,2008,16-07-06 0:00,140976
170,ColonialVoice,6,2006,11-04-06 0:00,111533
171,Distinguish,8,2005,07-10-07 0:00,166887
172,SuperiorCard,11,2008,25-09-06 0:00,70830
173,SuperiorCard,10,2007,16-11-06 0:00,145057
174,ColonialVoice,7,2006,13-02-08 0:00,88891
175,ColonialVoice,1,2006,21-08-06 0:00,100607
176,SuperiorCard,10,2007,29-12-07 0:00,126375
177,Vista,9,2005,11-10-06 0:00,102298
178,Vista,6,2008,08-04-07 0:00,35006
179,SuperiorCard,3,2007,20-09-07 0:00,133972
180,Distinguish,12,2008,01-07-06 0:00,72177
181,ColonialVoice,12,2007,01-08-05 0:00,116751
182,Distinguish,3,2008,25-04-07 0:00,22153
183,Vista,3,2005,02-02-08 0:00,149512
184,SuperiorCard,10,2007,05-12-07 0:00,7085
185,Distinguish,3,2008,04-04-08 0:00,124321
186,Vista,10,2007,06-12-07 0:00,180601
187,Vista,2,2007,01-04-08 0:00,175543
188,ColonialVoice,12,2005,15-10-07 0:00,99586
189,SuperiorCard,1,2008,26-05-08 0:00,125529
190,Distinguish,7,2006,18-02-08 0:00,25694
191,SuperiorCard,7,2005,21-01-08 0:00,88850
192,SuperiorCard,6,2007,25-12-07 0:00,86666
193,Vista,12,2005,01-06-07 0:00,33445
194,ColonialVoice,8,2008,01-08-06 0:00,97500
195,Distinguish,9,2005,29-09-06 0:00,130917
196,Vista,7,2005,22-06-08 0:00,6842
197,Distinguish,5,2006,20-05-06 0:00,2488
198,SuperiorCard,7,2007,24-02-08 0:00,178106
199,SuperiorCard,5,2007,12-12-07 0:00,36164
