CreditCardID,CardType,CardNumber,ExpMonth,ExpYear,ModifiedDate
1,SuperiorCard,3.33E+13,11,2006,30-08-07 0:00
2,Distinguish,5.56E+13,8,2005,06-01-08 0:00
3,ColonialVoice,7.78E+13,7,2005,15-02-08 0:00
4,ColonialVoice,7.78E+13,7,2006,21-06-07 0:00
5,Vista,1.11E+13,4,2005,05-03-07 0:00
6,Distinguish,5.56E+13,9,2006,11-05-08 0:00
7,Distinguish,5.56E+13,6,2007,05-03-07 0:00
8,SuperiorCard,3.33E+13,7,2007,01-08-07 0:00
9,Distinguish,5.56E+13,2,2005,25-10-07 0:00
10,SuperiorCard,3.33E+13,8,2008,01-10-05 0:00
11,SuperiorCard,3.33E+13,10,2008,04-06-08 0:00
12,SuperiorCard,3.33E+13,4,2008,01-07-06 0:00
13,Vista,1.11E+13,11,2005,01-04-08 0:00
14,Distinguish,5.56E+13,10,2006,21-12-07 0:00
15,SuperiorCard,3.33E+13,11,2008,02-03-07 0:00
16,Vista,1.11E+13,8,2006,31-01-08 0:00
17,ColonialVoice,7.78E+13,8,2008,17-02-08 0:00
18,ColonialVoice,7.78E+13,8,2007,29-01-06 0:00
19,ColonialVoice,7.78E+13,9,2007,07-03-08 0:00
20,SuperiorCard,3.33E+13,3,2007,18-01-08 0:00
21,SuperiorCard,3.33E+13,3,2006,13-10-07 0:00
22,ColonialVoice,7.78E+13,3,2005,25-01-08 0:00
23,Vista,1.11E+13,7,2006,17-05-06 0:00
24,Vista,1.11E+13,11,2005,22-09-07 0:00
25,Vista,1.11E+13,1,2007,20-02-07 0:00
26,Distinguish,5.56E+13,11,2008,28-09-07 0:00
27,SuperiorCard,3.33E+13,12,2008,13-12-07 0:00
28,SuperiorCard,3.33E+13,12,2006,01-09-07 0:00
29,SuperiorCard,3.33E+13,2,2007,26-05-08 0:00
30,Vista,1.11E+13,6,2006,14-02-08 0:00
31,Vista,1.11E+13,10,2008,16-02-03 0:00
32,Distinguish,5.56E+13,6,2006,22-02-08 0:00
33,SuperiorCard,3.33E+13,2,2006,25-02-06 0:00
34,Vista,1.11E+13,10,2006,27-12-07 0:00
35,SuperiorCard,3.33E+13,2,2007,06-09-06 0:00
36,Vista,1.11E+13,11,2006,05-10-07 0:00
37,Distinguish,5.56E+13,7,2007,23-04-08 0:00
38,Distinguish,5.56E+13,7,2008,26-10-07 0:00
39,Vista,1.11E+13,5,2005,15-10-07 0:00
40,Distinguish,5.56E+13,4,2008,26-09-07 0:00
41,Vista,1.11E+13,7,2008,22-04-08 0:00
42,Distinguish,5.56E+13,3,2005,02-08-07 0:00
43,SuperiorCard,3.33E+13,3,2006,05-10-07 0:00
44,ColonialVoice,7.78E+13,6,2007,11-11-07 0:00
45,Distinguish,5.56E+13,4,2006,29-05-08 0:00
46,SuperiorCard,3.33E+13,12,2005,08-01-08 0:00
47,Distinguish,5.56E+13,3,2008,09-07-07 0:00
48,SuperiorCard,3.33E+13,3,2008,21-06-08 0:00
49,SuperiorCard,3.33E+13,6,2008,10-08-07 0:00
50,ColonialVoice,7.78E+13,5,2007,16-07-08 0:00
51,SuperiorCard,3.33E+13,3,2007,07-04-08 0:00
52,Vista,1.11E+13,3,2008,25-05-07 0:00
53,ColonialVoice,7.78E+13,5,2006,05-05-08 0:00
54,Distinguish,5.56E+13,12,2006,06-10-07 0:00
55,ColonialVoice,7.78E+13,5,2008,01-09-07 0:00
56,Distinguish,5.56E+13,7,2007,16-04-08 0:00
57,ColonialVoice,7.78E+13,10,2008,24-01-08 0:00
58,Vista,1.11E+13,12,2008,10-03-08 0:00
59,Vista,1.11E+13,9,2006,01-08-07 0:00
60,Vista,1.11E+13,1,2008,16-07-06 0:00
61,Distinguish,5.56E+13,4,2008,15-06-08 0:00
62,SuperiorCard,3.33E+13,1,2005,02-05-08 0:00
63,Distinguish,5.56E+13,4,2008,07-01-08 0:00
64,ColonialVoice,7.78E+13,2,2005,14-11-07 0:00
65,Distinguish,5.56E+13,4,2005,14-11-07 0:00
66,ColonialVoice,7.78E+13,8,2005,01-03-04 0:00
67,SuperiorCard,3.33E+13,12,2005,28-11-07 0:00
68,SuperiorCard,3.33E+13,3,2005,10-03-07 0:00
69,ColonialVoice,7.78E+13,6,2005,18-06-06 0:00
70,Distinguish,5.56E+13,3,2008,10-03-08 0:00
71,Vista,1.11E+13,7,2005,14-11-07 0:00
72,Distinguish,5.56E+13,7,2005,14-09-07 0:00
73,Vista,1.11E+13,1,2008,25-12-07 0:00
74,Vista,1.11E+13,11,2007,27-07-08 0:00
75,SuperiorCard,3.33E+13,11,2008,24-10-07 0:00
76,SuperiorCard,3.33E+13,5,2008,01-07-05 0:00
77,Distinguish,5.56E+13,8,2008,28-03-03 0:00
78,SuperiorCard,3.33E+13,8,2008,26-02-08 0:00
79,Vista,1.11E+13,7,2006,19-07-06 0:00
80,ColonialVoice,7.78E+13,11,2008,21-12-07 0:00
81,Distinguish,5.56E+13,6,2007,19-12-06 0:00
82,Distinguish,5.56E+13,11,2006,01-07-06 0:00
83,Vista,1.11E+13,4,2008,30-11-07 0:00
84,Distinguish,5.56E+13,1,2006,29-04-08 0:00
85,ColonialVoice,7.78E+13,4,2006,27-06-08 0:00
86,SuperiorCard,3.33E+13,1,2006,27-09-07 0:00
87,Vista,1.11E+13,8,2007,04-04-06 0:00
88,Distinguish,5.56E+13,1,2006,21-05-08 0:00
89,SuperiorCard,3.33E+13,4,2007,20-05-07 0:00
90,Distinguish,5.56E+13,11,2007,14-08-07 0:00
91,SuperiorCard,3.33E+13,1,2006,31-08-07 0:00
92,SuperiorCard,3.33E+13,10,2006,14-03-08 0:00
93,Vista,1.11E+13,2,2005,27-10-07 0:00
94,Distinguish,5.56E+13,5,2005,06-04-08 0:00
95,Distinguish,5.56E+13,5,2007,06-04-08 0:00
96,SuperiorCard,3.33E+13,4,2007,18-02-08 0:00
97,ColonialVoice,7.78E+13,12,2007,02-06-08 0:00
98,SuperiorCard,3.33E+13,9,2006,06-01-06 0:00
99,Vista,1.11E+13,12,2006,29-09-07 0:00
